Statistic,Per 90,Percentile,Stat,Value
PSxG-GA,+0.04,57.0,,
Goals Against,0.70,99.0,,
Save Percentage,78.0%,94.0,,
PSxG/SoT,0.24,5.0,,
Save% (Penalty Kicks),16.7%,57.0,,
Clean Sheet Percentage,48.9%,99.0,,
,,,,
Touches,35.83,34.0,,
Launch %,34.2%,53.0,,
Goal Kicks,3.79,10.0,,
Avg. Length of Goal Kicks,48.6,67.0,,
,,,,
Crosses Stopped %,10.7%,95.0,,
Def. Actions Outside Pen. Area,1.47,80.0,,
Avg. Distance of Def. Actions,16.5,91.0,,
,,,Minutes Played,4260.0
PSxG-GA,+0.17,83.0,,
Goals Against,1.46,36.0,,
Save Percentage,73.1%,65.0,,
PSxG/SoT,0.31,74.0,,
Save% (Penalty Kicks),0.0%,25.0,,
Clean Sheet Percentage,15.4%,19.0,,
,,,,
Touches,34.46,25.0,,
Launch %,44.9%,85.0,,
Goal Kicks,6.00,61.0,,
Avg. Length of Goal Kicks,43.3,54.0,,
,,,,
Crosses Stopped %,6.7%,63.0,,
Def. Actions Outside Pen. Area,1.54,81.0,,
Avg. Distance of Def. Actions,14.4,61.0,,
,,,Minutes Played,1170.0
PSxG-GA,-0.12,18.0,,
Goals Against,2.11,6.0,,
Save Percentage,67.6%,30.0,,
PSxG/SoT,0.32,84.0,,
Save% (Penalty Kicks),0.0%,25.0,,
Clean Sheet Percentage,11.1%,9.0,,
,,,,
Touches,45.22,93.0,,
Launch %,43.7%,81.0,,
Goal Kicks,5.17,41.0,,
Avg. Length of Goal Kicks,49.8,76.0,,
,,,,
Crosses Stopped %,9.1%,91.0,,
Def. Actions Outside Pen. Area,0.72,26.0,,
Avg. Distance of Def. Actions,11.4,13.0,,
,,,Minutes Played,1620.0
