Statistic,Per 90,Percentile,Stat,Value
Non-Penalty Goals,0.04,56.0,,
npxG: Non-Penalty xG,0.06,65.0,,
Shots Total,0.20,9.0,,
Assists,0.00,27.0,,
xAG: Exp. Assisted Goals,0.01,37.0,,
npxG + xAG,0.07,51.0,,
Shot-Creating Actions,0.58,20.0,,
,,,,
Passes Attempted,70.97,84.0,,
Pass Completion %,92.8%,96.0,,
Progressive Passes,4.03,70.0,,
Progressive Carries,0.40,29.0,,
Successful Take-Ons,0.43,88.0,,
Touches (Att Pen),0.47,14.0,,
Progressive Passes Rec,0.13,25.0,,
,,,,
Tackles,1.68,67.0,,
Interceptions,0.63,7.0,,
Blocks,0.87,11.0,,
Clearances,2.78,7.0,,
Aerials Won,1.57,22.0,,
,,,Minutes Played,4019.0
Non-Penalty Goals,0.09,84.0,,
npxG: Non-Penalty xG,0.11,96.0,,
Shots Total,0.89,92.0,,
Assists,0.02,56.0,,
xAG: Exp. Assisted Goals,0.02,47.0,,
npxG + xAG,0.13,91.0,,
Shot-Creating Actions,0.98,65.0,,
,,,,
Passes Attempted,62.62,66.0,,
Pass Completion %,90.2%,79.0,,
Progressive Passes,3.96,66.0,,
Progressive Carries,0.22,13.0,,
Successful Take-Ons,0.11,31.0,,
Touches (Att Pen),1.40,89.0,,
Progressive Passes Rec,0.24,51.0,,
,,,,
Tackles,1.09,18.0,,
Interceptions,0.67,9.0,,
Blocks,1.22,46.0,,
Clearances,3.29,21.0,,
Aerials Won,2.02,51.0,,
,,,Minutes Played,4049.0
Non-Penalty Goals,0.09,63.0,,
npxG: Non-Penalty xG,0.06,44.0,,
Shots Total,0.80,36.0,,
Assists,0.06,41.0,,
xAG: Exp. Assisted Goals,0.06,39.0,,
npxG + xAG,0.12,36.0,,
Shot-Creating Actions,1.99,37.0,,
,,,,
Passes Attempted,62.20,79.0,,
Pass Completion %,87.5%,73.0,,
Progressive Passes,5.80,71.0,,
Progressive Carries,0.98,38.0,,
Successful Take-Ons,0.42,33.0,,
Touches (Att Pen),1.07,47.0,,
Progressive Passes Rec,1.34,36.0,,
,,,,
Tackles,2.56,78.0,,
Interceptions,1.22,68.0,,
Blocks,0.86,17.0,,
Clearances,1.49,58.0,,
Aerials Won,0.98,60.0,,
,,,Minutes Played,3027.0
Non-Penalty Goals,0.04,47.0,,
npxG: Non-Penalty xG,0.03,32.0,,
Shots Total,0.47,30.0,,
Assists,0.08,50.0,,
xAG: Exp. Assisted Goals,0.07,33.0,,
npxG + xAG,0.09,24.0,,
Shot-Creating Actions,1.93,41.0,,
,,,,
Passes Attempted,50.38,46.0,,
Pass Completion %,85.7%,87.0,,
Progressive Passes,4.92,82.0,,
Progressive Carries,1.58,32.0,,
Successful Take-Ons,1.22,88.0,,
Touches (Att Pen),2.13,81.0,,
Progressive Passes Rec,3.07,20.0,,
,,,,
Tackles,2.05,57.0,,
Interceptions,0.91,47.0,,
Blocks,0.71,10.0,,
Clearances,1.81,20.0,,
Aerials Won,0.67,36.0,,
,,,Minutes Played,2285.0
Non-Penalty Goals,0.50,76.0,,
npxG: Non-Penalty xG,0.44,66.0,,
Shots Total,2.48,47.0,,
