team_id,team_name,stats_roster_size,stats_matches_played,stats_ttl_gls,stats_ttl_ast,stats_ttl_non_pen_gls,stats_ttl_xg,stats_ttl_non_pen_xg,stats_ttl_xag,stats_ttl_pk_made,stats_ttl_pk_att,stats_ttl_yellow_cards,stats_ttl_red_cards,stats_ttl_carries_prog,stats_ttl_passes_prog,stats_avg_gls,stats_avg_ast,stats_avg_non_pen_gls,stats_avg_xg,stats_avg_xag,stats_avg_non_pen_xg,keepers_ttl_gls_ag,keepers_avg_gls_ag,keepers_sot_ag,keepers_ttl_saves,keepers_save_pct,keepers_clean_sheets,keepers_clean_sheet_pct,keepers_pk_att_ag,keepers_pk_made_ag,keepers_pk_saved,keepers_pk_miss_ag,keepers_pk_save_pct,keepersadv_ttl_pk_att_ag,keepersadv_ttl_fk_gls_ag,keepersadv_ttl_ck_gls_ag,keepersadv_ttl_og_ag,keepersadv_ttl_psxg,keepersadv_psxg_per_sot,keepersadv_ttl_launched_pass_cmp,keepersadv_ttl_launched_pass_att,keepersadv_pct_launched_pass_cmp,keepersadv_ttl_pass_att,keepersadv_ttl_throws_att,keepersadv_pct_passes_launched,keepersadv_avg_pass_len,keepersadv_ttl_gk_att,keepersadv_pct_gk_launch,keepersadv_avg_gk_len,keepersadv_ttl_crosses_faced,keepersadv_ttl_crosses_stopped,keepersadv_pct_crosses_stopped,keepersadv_ttl_def_action_outside_box,keepersadv_avg_def_action_outside_box,keepersadv_avg_dist_def_action_outside_box,shooting_ttl_sh,shooting_ttl_sot,shooting_pct_sot,shooting_avg_sh,shooting_avg_sot,shooting_gls_per_sh,shooting_gls_per_sot,shooting_avg_sh_dist,shooting_ttl_fk_sh,shooting_npxg_per_sh,shooting_ttl_gls_xg_diff,shooting_ttl_non_pen_gls_xg_diff,passing_ttl_pass_cmp,passing_pct_pass_cmp,passing_pass_ttl_dist,passing_ttl_pass_cmp_s,passing_ttl_pass_att_s,passing_pct_pass_cmp_s,passing_ttl_pass_cmp_m,passing_ttl_pass_att_m,passing_pct_pass_cmp_m,passing_ttl_pass_cmp_l,passing_ttl_pass_att_l,passing_pct_pass_cmp_l,passing_ttl_xa,passing_ttl_ast_xag_diff,passing_ttl_pass_prog,passing_pass_prog_ttl_dist,passing_ttl_key_passes,passing_ttl_pass_fthird,passing_ttl_pass_opp_box,passing_ttl_cross_opp_box,passing_types_ttl_pass_live,passing_types_ttl_pass_dead,passing_types_ttl_pass_fk,passing_types_ttl_through_balls,passing_types_ttl_switches,passing_types_ttl_crosses,passing_types_ttl_pass_offside,passing_types_ttl_pass_blocked,passing_types_ttl_throw_ins,passing_types_ttl_ck,passing_types_ck_in_swinger,passing_types_ck_out_swinger,passing_types_ck_straight,gca_ttl_sca,gca_avg_sca,gca_ttl_pass_live_sca,gca_ttl_take_on_sca,gca_ttl_sh_sca,gca_ttl_fld_sca,gca_ttl_def_sca,gca_ttl_gca,gca_avg_gca,gca_ttl_pass_live_gca,gca_ttl_pass_dead_gca,gca_ttl_take_on_gca,gca_ttl_sh_gca,gca_ttl_fld_gca,gca_ttl_def_gca,defense_ttl_tkl,defense_ttl_tkl_won,defense_ttl_tkl_def_third,defense_ttl_tkl_mid_third,defense_ttl_tkl_att_third,defense_ttl_tkl_drb,defense_ttl_tkl_drb_att,defense_pct_tkl_drb_suc,defense_ttl_blocks,defense_ttl_sh_blocked,defense_ttl_int,defense_ttl_tkl_plus_int,defense_ttl_clearances,defense_ttl_def_error,possession_avg_poss,possession_ttl_touches,possession_ttl_touch_def_box,possession_ttl_touch_def_third,possession_ttl_touch_mid_third,possession_ttl_touch_fthird,possession_ttl_touch_opp_box,possession_ttl_touch_live,possession_ttl_take_on_att,possession_ttl_take_on_suc,possession_pct_take_on_suc,possession_ttl_take_on_tkld,possession_pct_take_on_tkld,possession_ttl_carries,possession_ttl_carries_dist,possession_ttl_carries_prog_dist,possession_ttl_carries_fthird,possession_ttl_carries_opp_box,possession_ttl_carries_miscontrolled,possession_ttl_carries_dispossessed,possession_ttl_pass_recvd,possession_ttl_pass_prog_rcvd,playingtime_avg_age,playingtime_avg_min_starter,playingtime_ttl_subs,playingtime_avg_min_sub,misc_ttl_second_yellow_cards,misc_ttl_fls_ag,misc_ttl_fls_for,misc_ttl_offside,misc_ttl_pk_won,misc_ttl_pk_conceded,misc_ttl_og,misc_ttl_ball_recov,misc_ttl_air_dual_won,misc_ttl_air_dual_lost,league_id,season_id,Elo
18bb7c10,Arsenal,25,38,86,62,76,76.1,68.5,55.3,10,10,64,2,821,2106,2.26,1.63,2.0,2.0,1.46,1.8,29,0.76,83,54,67.5,18,47.4,3,2,1,0,33.3,2,1,6,1,24.1,0.26,157,441,35.6,1058,189,35.1,30.7,195,35.9,31.1,375,48,12.8,59,1.55,17.9,647,209,32.3,17.03,5.5,0.12,0.36,15.8,6,0.11,9.9,7.5,19094,84.6,309533,9719,10643,91.3,7809,8765,89.1,1178,2162,54.5,57.8,6.7,2106,102210,513,1546,548,68,20941,1530,443,104,65,670,87,319,560,265,217,1,0,1185,31.18,926,58,66,33,20,152,4.0,104,16,8,11,13,0,610,348,257,246,107,271,543,49.9,412,106,292,902,515,18,58.2,26493,1974,6714,11407,8560,1480,26483,671,283,42.2,304,45.3,16297,81171,41510,575,327,525,375,18917,2088,25.0,84.0,154,17.0,1,391,394,87,9,3,1,1752,503,499,9,2023-2024,1946.90283203
8602292d,Aston Villa,31,38,72,55,68,63.3,60.3,48.6,4,4,94,2,775,1451,1.89,1.45,1.79,1.67,1.28,1.59,61,1.61,173,115,65.3,8,21.1,2,1,1,0,50.0,1,1,10,4,61.7,0.35,136,380,35.8,1386,176,21.8,27.1,246,31.7,29.5,419,51,12.2,70,1.84,8.4,511,182,35.6,13.45,4.79,0.13,0.37,16.0,15,0.12,8.7,7.7,16133,83.3,281128,7110,7878,90.3,7381,8273,89.2,1330,2368,56.2,42.5,6.4,1451,95293,398,1160,363,67,17499,1817,628,80,95,651,47,343,613,231,149,15,2,912,24.0,670,47,73,31,14,129,3.39,92,8,8,10,8,3,547,311,269,210,68,260,550,47.3,389,113,236,783,597,13,53.1,23059,2807,8171,9636,5459,1010,23055,757,345,45.6,315,41.6,14451,78629,41239,490,217,477,416,15824,1438,26.9,83.0,151,19.0,0,412,473,47,4,2,4,1619,334,363,9,2023-2024,1770.43505859
4ba7cbea,Bournemouth,30,38,52,39,50,55.9,53.6,40.5,2,3,79,3,709,1314,1.37,1.03,1.32,1.47,1.06,1.41,67,1.76,194,127,68.6,9,23.7,7,6,1,0,14.3,6,1,6,1,63.2,0.3,199,581,34.3,976,177,44.0,41.7,266,57.1,43.9,492,31,6.3,37,0.97,14.8,539,175,32.5,14.18,4.61,0.09,0.29,16.7,18,0.1,-3.9,-3.6,11899,74.7,220978,4976,5868,84.8,5270,6214,84.8,1393,2964,47.0,33.7,-1.5,1314,83235,414,1074,352,88,14065,1799,419,48,91,709,56,361,774,235,192,9,4,952,25.05,700,64,57,34,27,83,2.18,62,3,5,6,3,4,693,410,301,281,111,325,688,47.2,504,153,357,1050,817,16,44.4,20700,2486,6820,8469,5686,1033,20697,872,382,43.8,414,47.5,11015,66369,34635,513,240,637,386,11771,1296,25.7,82.0,170,20.0,0,507,376,56,3,7,1,2013,582,671,9,2023-2024,1691.12365723
cd051869,Brentford,28,38,54,38,51,58.2,56.0,42.7,3,3,89,2,505,1283,1.42,1.0,1.34,1.53,1.12,1.47,65,1.71,184,119,65.8,7,18.4,2,2,0,0,0.0,2,0,6,0,57.0,0.3,254,677,37.5,1330,136,37.1,34.5,318,57.5,44.9,605,46,7.6,38,1.0,12.6,470,159,33.8,12.37,4.18,0.11,0.32,15.6,17,0.12,-4.2,-5.0,12551,74.6,225971,5616,6628,84.7,5236,6432,81.4,1382,2776,49.8,40.0,-4.7,1283,88492,332,965,333,106,14996,1752,464,70,113,706,70,357,683,184,79,51,10,804,21.16,557,34,55,42,14,81,2.13,57,7,3,8,6,0,677,399,349,250,78,317,697,45.5,474,142,378,1055,903,18,45.2,21227,2878,7944,8253,5210,982,21224,577,243,42.1,269,46.6,10970,56621,29411,363,156,556,271,12416,1276,26.6,83.0,170,16.0,0,385,419,70,3,2,0,1892,632,607,9,2023-2024,1711.08398438
d07537b9,Brighton,30,38,50,36,45,56.8,52.2,41.6,5,6,90,3,864,1780,1.32,0.95,1.18,1.49,1.09,1.37,62,1.63,165,105,66.1,6,15.8,6,6,0,0,0.0,6,1,8,2,51.1,0.28,102,274,37.2,1278,186,20.3,24.4,254,5.9,12.0,405,24,5.9,72,1.89,15.8,555,198,35.7,14.61,5.21,0.08,0.23,16.7,11,0.1,-6.8,-7.2,21810,87.1,341060,11574,12473,92.8,8261,9125,90.5,1296,2164,59.9,43.7,-5.6,1780,113686,429,1484,384,81,23334,1611,511,62,76,671,84,327,541,206,86,73,5,1010,26.58,749,54,71,38,11,89,2.34,59,5,9,9,6,1,644,366,292,252,100,307,658,46.7,437,140,288,932,603,21,59.8,29112,3197,9449,13090,6766,1081,29106,715,297,41.5,322,45.0,19020,92960,48884,584,269,579,342,21577,1767,25.9,80.0,176,23.0,0,414,454,84,6,6,2,1751,406,345,9,2023-2024,1713.16320801
943e8050,Burnley,31,38,40,30,37,40.6,38.3,29.7,3,3,77,7,727,1181,1.05,0.79,0.97,1.07,0.78,1.01,78,2.05,244,168,70.5,2,5.3,7,6,1,0,14.3,6,0,11,3,75.8,0.29,215,825,26.1,1826,216,35.6,34.3,284,61.6,44.7,562,50,8.9,74,1.95,17.2,430,137,31.9,11.32,3.61,0.09,0.27,17.7,13,0.09,-0.6,-1.3,13937,77.6,246047,6311,7267,86.8,6017,7042,85.4,1324,2755,48.1,26.6,0.3,1181,83556,326,976,216,54,16189,1694,445,49,77,550,76,344,670,180,67,58,9,757,19.92,549,49,45,31,9,74,1.95,55,6,8,2,3,0,607,342,282,247,78,284,584,48.6,477,169,280,887,837,22,47.4,22181,2907,8021,9196,5155,819,22178,699,300,42.9,329,47.1,12244,66914,35421,460,240,517,296,13779,1162,24.5,82.0,162,19.0,3,429,353,76,3,7,3,1727,561,696,9,2023-2024,1611.26379395
cff3d9bb,Chelsea,32,38,76,51,65,74.5,65.1,51.4,11,12,109,4,873,1615,2.0,1.34,1.71,1.96,1.35,1.71,63,1.66,186,125,67.7,8,21.1,5,3,1,1,25.0,3,0,8,3,52.5,0.27,128,361,35.5,1129,184,22.5,28.1,282,37.9,32.6,514,39,7.6,47,1.24,15.8,537,194,36.1,14.13,5.11,0.12,0.34,17.3,22,0.12,1.5,-0.1,20039,85.8,328448,10006,10877,92.0,8176,9060,90.2,1365,2328,58.6,43.1,-0.4,1615,109853,419,1351,352,51,21587,1692,496,116,101,558,85,348,611,202,78,55,4,980,25.79,720,76,46,50,26,133,3.5,89,7,11,10,12,4,663,376,325,235,103,323,630,51.3,448,166,298,961,785,24,58.6,27725,3035,9367,12068,6558,1039,27713,869,398,45.8,365,42.0,16624,84615,44082,543,291,604,370,19899,1600,24.2,84.0,148,17.0,2,446,451,85,11,5,3,1846,440,402,9,2023-2024,1810.11962891
47c64c55,Crystal Palace,26,38,56,43,52,48.6,45.4,38.7,4,4,73,2,506,1176,1.47,1.13,1.37,1.28,1.02,1.2,58,1.53,154,98,64.3,10,26.3,3,3,0,0,0.0,3,0,7,2,47.5,0.29,176,605,29.1,826,115,51.8,41.2,255,69.4,49.2,586,30,5.1,29,0.76,11.2,452,162,35.8,11.89,4.26,0.12,0.32,17.2,20,0.1,7.4,6.6,12915,77.1,225542,6040,6920,87.3,5338,6287,84.9,1204,2608,46.2,31.5,4.3,1176,84922,353,995,273,60,14948,1734,484,52,97,583,72,366,721,178,81,57,6,794,20.89,554,48,50,45,23,103,2.71,85,4,6,2,6,0,788,464,373,301,114,337,609,55.3,456,122,323,1111,927,6,42.3,21367,2349,7237,9279,5077,797,21363,737,341,46.3,320,43.4,10943,55546,26838,383,170,606,426,12811,1161,26.7,85.0,126,16.0,2,457,427,72,4,3,2,1909,553,555,9,2023-2024,1759.70800781
d3fd31cc,Everton,26,38,40,17,38,54.0,51.6,38.1,2,3,82,1,495,1129,1.05,0.45,1.0,1.42,1.0,1.36,51,1.34,165,117,73.9,13,34.2,8,8,0,0,0.0,8,0,9,3,52.4,0.28,360,901,40.0,1296,141,56.7,41.6,274,60.6,48.2,570,30,5.3,54,1.42,15.9,504,152,30.2,13.26,4.0,0.08,0.25,16.7,14,0.11,-14.0,-13.6,11349,73.2,208537,5198,6091,85.3,4386,5405,81.1,1469,3057,48.1,31.8,-21.1,1129,88374,339,958,284,77,13704,1721,409,45,78,752,89,347,768,181,140,26,3,854,22.47,592,31,76,41,32,60,1.58,33,5,0,13,5,4,743,442,371,261,111,347,701,49.5,479,177,358,1101,882,12,40.8,20053,2568,6792,8180,5283,809,20050,564,250,44.3,267,47.3,9770,52160,25904,389,127,560,320,11254,1119,27.1,85.0,121,19.0,1,457,361,89,2,8,3,1970,676,577,9,2023-2024,1706.85083008
fd962109,Fulham,25,38,54,40,52,50.8,49.2,37.6,2,2,84,4,670,1467,1.42,1.05,1.37,1.34,0.99,1.3,61,1.61,190,133,72.1,10,26.3,8,8,0,0,0.0,8,2,3,4,55.7,0.26,144,439,32.8,1272,167,25.5,28.5,301,38.2,33.0,472,19,4.0,40,1.05,14.2,499,175,35.1,13.13,4.61,0.1,0.3,17.0,14,0.1,3.2,2.8,16311,80.6,290238,7028,7907,88.9,7277,8347,87.2,1586,2853,55.6,33.6,2.4,1467,100538,379,1117,355,94,18414,1772,464,58,118,736,51,421,696,212,70,98,1,877,23.08,652,40,67,24,15,95,2.5,73,6,4,8,3,1,679,384,339,260,80,346,678,51.0,437,117,371,1050,744,14,50.6,24318,2792,8619,10359,5568,849,24316,550,271,49.3,232,42.2,13883,72675,36777,508,151,520,325,16183,1452,28.4,82.0,170,18.0,3,384,364,51,2,8,4,1837,487,509,9,2023-2024,1716.27636719
